2026-07-25 19:55:08,959 | INFO | knowledge_collector.crawl_progress | Current page: 1 | Pages completed: 0 | Pages remaining: 1 | Queue size: 1 | Visited pages: 0 | Current depth: 0 | Elapsed time: 00:00 | Estimated remaining time: 00:00 | Current URL: https://owasp.org/Top10/2021/A01_2021-Broken_Access_Control/index.html
2026-07-25 19:55:10,914 | INFO | knowledge_collector.crawl_progress | Current page: 2 | Pages completed: 1 | Pages remaining: 32 | Queue size: 32 | Visited pages: 1 | Current depth: 1 | Elapsed time: 00:02 | Estimated remaining time: 01:03 | Current URL: https://owasp.org/Top10/2021
2026-07-25 19:55:11,699 | INFO | knowledge_collector.crawl_progress | Current page: 3 | Pages completed: 2 | Pages remaining: 43 | Queue size: 43 | Visited pages: 2 | Current depth: 1 | Elapsed time: 00:03 | Estimated remaining time: 00:59 | Current URL: https://owasp.org/Top10/2021/A01_2021-Broken_Access_Control
2026-07-25 19:55:13,428 | INFO | knowledge_collector.crawl_progress | Current page: 4 | Pages completed: 3 | Pages remaining: 42 | Queue size: 42 | Visited pages: 3 | Current depth: 1 | Elapsed time: 00:04 | Estimated remaining time: 01:03 | Current URL: https://owasp.org/Top10/2021/ar/A01_2021-Broken_Access_Control
2026-07-25 19:55:15,111 | INFO | knowledge_collector.crawl_progress | Current page: 5 | Pages completed: 4 | Pages remaining: 56 | Queue size: 56 | Visited pages: 4 | Current depth: 1 | Elapsed time: 00:06 | Estimated remaining time: 01:26 | Current URL: https://owasp.org/Top10/2021/de/A01_2021-Broken_Access_Control
2026-07-25 19:55:16,733 | INFO | knowledge_collector.crawl_progress | Current page: 6 | Pages completed: 5 | Pages remaining: 72 | Queue size: 72 | Visited pages: 5 | Current depth: 1 | Elapsed time: 00:08 | Estimated remaining time: 01:52 | Current URL: https://owasp.org/Top10/2021/es/A01_2021-Broken_Access_Control
2026-07-25 19:55:17,703 | INFO | knowledge_collector.crawl_progress | Current page: 7 | Pages completed: 6 | Pages remaining: 87 | Queue size: 87 | Visited pages: 6 | Current depth: 1 | Elapsed time: 00:09 | Estimated remaining time: 02:07 | Current URL: https://owasp.org/Top10/2021/fr/A01_2021-Broken_Access_Control
2026-07-25 19:55:18,483 | INFO | knowledge_collector.crawl_progress | Current page: 8 | Pages completed: 7 | Pages remaining: 101 | Queue size: 101 | Visited pages: 7 | Current depth: 1 | Elapsed time: 00:10 | Estimated remaining time: 02:18 | Current URL: https://owasp.org/Top10/2021/id/A01_2021-Broken_Access_Control
2026-07-25 19:55:19,330 | INFO | knowledge_collector.crawl_progress | Current page: 9 | Pages completed: 8 | Pages remaining: 115 | Queue size: 115 | Visited pages: 8 | Current depth: 1 | Elapsed time: 00:10 | Estimated remaining time: 02:29 | Current URL: https://owasp.org/Top10/2021/it/A01_2021-Broken_Access_Control
2026-07-25 19:55:20,106 | INFO | knowledge_collector.crawl_progress | Current page: 10 | Pages completed: 9 | Pages remaining: 129 | Queue size: 129 | Visited pages: 9 | Current depth: 1 | Elapsed time: 00:11 | Estimated remaining time: 02:40 | Current URL: https://owasp.org/Top10/2021/ja/A01_2021-Broken_Access_Control
2026-07-25 19:55:21,632 | INFO | knowledge_collector.crawl_progress | Current page: 11 | Pages completed: 10 | Pages remaining: 143 | Queue size: 143 | Visited pages: 10 | Current depth: 1 | Elapsed time: 00:13 | Estimated remaining time: 03:01 | Current URL: https://owasp.org/Top10/2021/pt-BR/A01_2021-Broken_Access_Control
2026-07-25 19:55:22,525 | INFO | knowledge_collector.crawl_progress | Current page: 12 | Pages completed: 11 | Pages remaining: 157 | Queue size: 157 | Visited pages: 11 | Current depth: 1 | Elapsed time: 00:14 | Estimated remaining time: 03:14 | Current URL: https://owasp.org/Top10/2021/tr/A01_2021-Broken_Access_Control
2026-07-25 19:55:24,081 | INFO | knowledge_collector.crawl_progress | Current page: 13 | Pages completed: 12 | Pages remaining: 171 | Queue size: 171 | Visited pages: 12 | Current depth: 1 | Elapsed time: 00:15 | Estimated remaining time: 03:36 | Current URL: https://owasp.org/Top10/2021/zh-Hant/A01_2021-Broken_Access_Control
2026-07-25 19:55:25,618 | INFO | knowledge_collector.crawl_progress | Current page: 14 | Pages completed: 13 | Pages remaining: 185 | Queue size: 185 | Visited pages: 13 | Current depth: 1 | Elapsed time: 00:17 | Estimated remaining time: 03:57 | Current URL: https://owasp.org/Top10/2021/zh-TW/A01_2021-Broken_Access_Control
2026-07-25 19:55:27,141 | INFO | knowledge_collector.crawl_progress | Current page: 15 | Pages completed: 14 | Pages remaining: 199 | Queue size: 199 | Visited pages: 14 | Current depth: 1 | Elapsed time: 00:18 | Estimated remaining time: 04:19 | Current URL: https://owasp.org/Top10/2021/A00_2021_Introduction
2026-07-25 19:55:27,978 | INFO | knowledge_collector.crawl_progress | Current page: 16 | Pages completed: 15 | Pages remaining: 198 | Queue size: 198 | Visited pages: 15 | Current depth: 1 | Elapsed time: 00:19 | Estimated remaining time: 04:11 | Current URL: https://owasp.org/Top10/2021/0x00_2021-notice
2026-07-25 19:55:29,011 | INFO | knowledge_collector.crawl_progress | Current page: 17 | Pages completed: 16 | Pages remaining: 198 | Queue size: 198 | Visited pages: 16 | Current depth: 1 | Elapsed time: 00:20 | Estimated remaining time: 04:08 | Current URL: https://owasp.org/Top10/2021/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
2026-07-25 19:55:29,971 | INFO | knowledge_collector.crawl_progress | Current page: 18 | Pages completed: 17 | Pages remaining: 197 | Queue size: 197 | Visited pages: 17 | Current depth: 1 | Elapsed time: 00:21 | Estimated remaining time: 04:04 | Current URL: https://owasp.org/Top10/2021/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:55:30,698 | INFO | knowledge_collector.crawl_progress | Current page: 19 | Pages completed: 18 | Pages remaining: 196 | Queue size: 196 | Visited pages: 18 | Current depth: 1 | Elapsed time: 00:22 | Estimated remaining time: 03:57 | Current URL: https://owasp.org/Top10/2021/0x01_2021-about-owasp
2026-07-25 19:55:31,652 | INFO | knowledge_collector.crawl_progress | Current page: 20 | Pages completed: 19 | Pages remaining: 199 | Queue size: 199 | Visited pages: 19 | Current depth: 1 | Elapsed time: 00:23 | Estimated remaining time: 03:58 | Current URL: https://owasp.org/Top10/2021/A02_2021-Cryptographic_Failures
2026-07-25 19:55:32,502 | INFO | knowledge_collector.crawl_progress | Current page: 21 | Pages completed: 20 | Pages remaining: 205 | Queue size: 205 | Visited pages: 20 | Current depth: 1 | Elapsed time: 00:24 | Estimated remaining time: 04:01 | Current URL: https://owasp.org/Top10/2021/A03_2021-Injection
2026-07-25 19:55:33,281 | INFO | knowledge_collector.crawl_progress | Current page: 22 | Pages completed: 21 | Pages remaining: 213 | Queue size: 213 | Visited pages: 21 | Current depth: 1 | Elapsed time: 00:24 | Estimated remaining time: 04:07 | Current URL: https://owasp.org/Top10/2021/A04_2021-Insecure_Design
2026-07-25 19:55:34,089 | INFO | knowledge_collector.crawl_progress | Current page: 23 | Pages completed: 22 | Pages remaining: 213 | Queue size: 213 | Visited pages: 22 | Current depth: 1 | Elapsed time: 00:25 | Estimated remaining time: 04:03 | Current URL: https://owasp.org/Top10/2021/A05_2021-Security_Misconfiguration
2026-07-25 19:55:36,643 | INFO | knowledge_collector.crawl_progress | Current page: 24 | Pages completed: 23 | Pages remaining: 214 | Queue size: 214 | Visited pages: 23 | Current depth: 1 | Elapsed time: 00:28 | Estimated remaining time: 04:18 | Current URL: https://owasp.org/Top10/2021/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:55:38,269 | INFO | knowledge_collector.crawl_progress | Current page: 25 | Pages completed: 24 | Pages remaining: 216 | Queue size: 216 | Visited pages: 24 | Current depth: 1 | Elapsed time: 00:29 | Estimated remaining time: 04:24 | Current URL: https://owasp.org/Top10/2021/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:55:40,019 | INFO | knowledge_collector.crawl_progress | Current page: 26 | Pages completed: 25 | Pages remaining: 222 | Queue size: 222 | Visited pages: 25 | Current depth: 1 | Elapsed time: 00:31 | Estimated remaining time: 04:36 | Current URL: https://owasp.org/Top10/2021/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:55:40,775 | INFO | knowledge_collector.crawl_progress | Current page: 27 | Pages completed: 26 | Pages remaining: 223 | Queue size: 223 | Visited pages: 26 | Current depth: 1 | Elapsed time: 00:32 | Estimated remaining time: 04:33 | Current URL: https://owasp.org/Top10/2021/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:55:42,209 | INFO | knowledge_collector.crawl_progress | Current page: 28 | Pages completed: 27 | Pages remaining: 226 | Queue size: 226 | Visited pages: 27 | Current depth: 1 | Elapsed time: 00:33 | Estimated remaining time: 04:38 | Current URL: https://owasp.org/Top10/2021/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:55:43,497 | INFO | knowledge_collector.crawl_progress | Current page: 29 | Pages completed: 28 | Pages remaining: 227 | Queue size: 227 | Visited pages: 28 | Current depth: 1 | Elapsed time: 00:35 | Estimated remaining time: 04:40 | Current URL: https://owasp.org/Top10/2021/A11_2021-Next_Steps
2026-07-25 19:55:45,209 | INFO | knowledge_collector.crawl_progress | Current page: 30 | Pages completed: 29 | Pages remaining: 230 | Queue size: 230 | Visited pages: 29 | Current depth: 1 | Elapsed time: 00:36 | Estimated remaining time: 04:48 | Current URL: https://owasp.org/www-project-proactive-controls/v3/en/c7-enforce-access-controls
2026-07-25 19:55:48,629 | INFO | knowledge_collector.crawl_progress | Current page: 31 | Pages completed: 30 | Pages remaining: 286 | Queue size: 286 | Visited pages: 30 | Current depth: 1 | Elapsed time: 00:40 | Estimated remaining time: 06:18 | Current URL: https://owasp.org/www-project-application-security-verification-standard
2026-07-25 19:55:49,509 | INFO | knowledge_collector.crawl_progress | Current page: 32 | Pages completed: 31 | Pages remaining: 302 | Queue size: 302 | Visited pages: 31 | Current depth: 1 | Elapsed time: 00:41 | Estimated remaining time: 06:35 | Current URL: https://owasp.org/www-project-web-security-testing-guide/latest/4-Web_Application_Security_Testing/05-Authorization_Testing/README
2026-07-25 19:55:50,316 | INFO | knowledge_collector.crawl_progress | Current page: 33 | Pages completed: 32 | Pages remaining: 457 | Queue size: 457 | Visited pages: 32 | Current depth: 1 | Elapsed time: 00:41 | Estimated remaining time: 09:51 | Current URL: https://cheatsheetseries.owasp.org/cheatsheets/Authorization_Cheat_Sheet.html
2026-07-25 19:55:53,231 | INFO | knowledge_collector.crawl_progress | Current page: 34 | Pages completed: 33 | Pages remaining: 572 | Queue size: 572 | Visited pages: 33 | Current depth: 2 | Elapsed time: 00:44 | Estimated remaining time: 12:48 | Current URL: https://owasp.org/Top10/2021/ar
2026-07-25 19:55:54,607 | INFO | knowledge_collector.crawl_progress | Current page: 35 | Pages completed: 34 | Pages remaining: 572 | Queue size: 572 | Visited pages: 34 | Current depth: 2 | Elapsed time: 00:46 | Estimated remaining time: 12:48 | Current URL: https://owasp.org/Top10/2021/de
2026-07-25 19:55:55,461 | INFO | knowledge_collector.crawl_progress | Current page: 36 | Pages completed: 35 | Pages remaining: 581 | Queue size: 581 | Visited pages: 35 | Current depth: 2 | Elapsed time: 00:47 | Estimated remaining time: 12:52 | Current URL: https://owasp.org/Top10/2021/es
2026-07-25 19:55:56,539 | INFO | knowledge_collector.crawl_progress | Current page: 37 | Pages completed: 36 | Pages remaining: 580 | Queue size: 580 | Visited pages: 36 | Current depth: 2 | Elapsed time: 00:48 | Estimated remaining time: 12:47 | Current URL: https://owasp.org/Top10/2021/fr
2026-07-25 19:55:57,439 | INFO | knowledge_collector.crawl_progress | Current page: 38 | Pages completed: 37 | Pages remaining: 579 | Queue size: 579 | Visited pages: 37 | Current depth: 2 | Elapsed time: 00:48 | Estimated remaining time: 12:39 | Current URL: https://owasp.org/Top10/2021/id
2026-07-25 19:55:58,475 | INFO | knowledge_collector.crawl_progress | Current page: 39 | Pages completed: 38 | Pages remaining: 578 | Queue size: 578 | Visited pages: 38 | Current depth: 2 | Elapsed time: 00:50 | Estimated remaining time: 12:33 | Current URL: https://owasp.org/Top10/2021/it
2026-07-25 19:56:00,113 | INFO | knowledge_collector.crawl_progress | Current page: 40 | Pages completed: 39 | Pages remaining: 577 | Queue size: 577 | Visited pages: 39 | Current depth: 2 | Elapsed time: 00:51 | Estimated remaining time: 12:37 | Current URL: https://owasp.org/Top10/2021/ja
2026-07-25 19:56:01,991 | INFO | knowledge_collector.crawl_progress | Current page: 41 | Pages completed: 40 | Pages remaining: 576 | Queue size: 576 | Visited pages: 40 | Current depth: 2 | Elapsed time: 00:53 | Estimated remaining time: 12:44 | Current URL: https://owasp.org/Top10/2021/pt-BR
2026-07-25 19:56:02,763 | INFO | knowledge_collector.crawl_progress | Current page: 42 | Pages completed: 41 | Pages remaining: 575 | Queue size: 575 | Visited pages: 41 | Current depth: 2 | Elapsed time: 00:54 | Estimated remaining time: 12:35 | Current URL: https://owasp.org/Top10/2021/tr
2026-07-25 19:56:03,787 | INFO | knowledge_collector.crawl_progress | Current page: 43 | Pages completed: 42 | Pages remaining: 574 | Queue size: 574 | Visited pages: 42 | Current depth: 2 | Elapsed time: 00:55 | Estimated remaining time: 12:29 | Current URL: https://owasp.org/Top10/2021/zh-Hant
2026-07-25 19:56:04,787 | INFO | knowledge_collector.crawl_progress | Current page: 44 | Pages completed: 43 | Pages remaining: 573 | Queue size: 573 | Visited pages: 43 | Current depth: 2 | Elapsed time: 00:56 | Estimated remaining time: 12:24 | Current URL: https://owasp.org/Top10/2021/zh-TW
2026-07-25 19:56:05,574 | INFO | knowledge_collector.crawl_progress | Current page: 45 | Pages completed: 44 | Pages remaining: 572 | Queue size: 572 | Visited pages: 44 | Current depth: 2 | Elapsed time: 00:57 | Estimated remaining time: 12:16 | Current URL: https://owasp.org/Top10/2025
2026-07-25 19:56:06,308 | INFO | knowledge_collector.crawl_progress | Current page: 46 | Pages completed: 45 | Pages remaining: 588 | Queue size: 588 | Visited pages: 45 | Current depth: 2 | Elapsed time: 00:57 | Estimated remaining time: 12:30 | Current URL: https://owasp.org/Top10/2021/ar/A00_2021_Introduction
2026-07-25 19:56:07,651 | INFO | knowledge_collector.crawl_progress | Current page: 47 | Pages completed: 46 | Pages remaining: 587 | Queue size: 587 | Visited pages: 46 | Current depth: 2 | Elapsed time: 00:59 | Estimated remaining time: 12:29 | Current URL: https://owasp.org/Top10/2021/ar/0x00_2021-notice
2026-07-25 19:56:08,351 | INFO | knowledge_collector.crawl_progress | Current page: 48 | Pages completed: 47 | Pages remaining: 586 | Queue size: 586 | Visited pages: 47 | Current depth: 2 | Elapsed time: 00:59 | Estimated remaining time: 12:21 | Current URL: https://owasp.org/Top10/2021/ar/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
2026-07-25 19:56:09,385 | INFO | knowledge_collector.crawl_progress | Current page: 49 | Pages completed: 48 | Pages remaining: 585 | Queue size: 585 | Visited pages: 48 | Current depth: 2 | Elapsed time: 01:00 | Estimated remaining time: 12:17 | Current URL: https://owasp.org/Top10/2021/ar/A00_2021-How_to_start_an_AppSec_program_with_the_OWASP_Top_10
2026-07-25 19:56:10,099 | INFO | knowledge_collector.crawl_progress | Current page: 50 | Pages completed: 49 | Pages remaining: 584 | Queue size: 584 | Visited pages: 49 | Current depth: 2 | Elapsed time: 01:01 | Estimated remaining time: 12:09 | Current URL: https://owasp.org/Top10/2021/ar/0x01_2021-about-owasp
2026-07-25 19:56:11,669 | INFO | knowledge_collector.crawl_progress | Current page: 51 | Pages completed: 50 | Pages remaining: 583 | Queue size: 583 | Visited pages: 50 | Current depth: 2 | Elapsed time: 01:03 | Estimated remaining time: 12:11 | Current URL: https://owasp.org/Top10/2021/ar/A02_2021-Cryptographic_Failures
2026-07-25 19:56:13,328 | INFO | knowledge_collector.crawl_progress | Current page: 52 | Pages completed: 51 | Pages remaining: 582 | Queue size: 582 | Visited pages: 51 | Current depth: 2 | Elapsed time: 01:04 | Estimated remaining time: 12:15 | Current URL: https://owasp.org/Top10/2021/ar/A03_2021-Injection
2026-07-25 19:56:14,814 | INFO | knowledge_collector.crawl_progress | Current page: 53 | Pages completed: 52 | Pages remaining: 581 | Queue size: 581 | Visited pages: 52 | Current depth: 2 | Elapsed time: 01:06 | Estimated remaining time: 12:16 | Current URL: https://owasp.org/Top10/2021/ar/A04_2021-Insecure_Design
2026-07-25 19:56:15,856 | INFO | knowledge_collector.crawl_progress | Current page: 54 | Pages completed: 53 | Pages remaining: 580 | Queue size: 580 | Visited pages: 53 | Current depth: 2 | Elapsed time: 01:07 | Estimated remaining time: 12:12 | Current URL: https://owasp.org/Top10/2021/ar/A05_2021-Security_Misconfiguration
2026-07-25 19:56:17,354 | INFO | knowledge_collector.crawl_progress | Current page: 55 | Pages completed: 54 | Pages remaining: 579 | Queue size: 579 | Visited pages: 54 | Current depth: 2 | Elapsed time: 01:08 | Estimated remaining time: 12:13 | Current URL: https://owasp.org/Top10/2021/ar/A06_2021-Vulnerable_and_Outdated_Components
2026-07-25 19:56:18,142 | INFO | knowledge_collector.crawl_progress | Current page: 56 | Pages completed: 55 | Pages remaining: 578 | Queue size: 578 | Visited pages: 55 | Current depth: 2 | Elapsed time: 01:09 | Estimated remaining time: 12:07 | Current URL: https://owasp.org/Top10/2021/ar/A07_2021-Identification_and_Authentication_Failures
2026-07-25 19:56:19,831 | INFO | knowledge_collector.crawl_progress | Current page: 57 | Pages completed: 56 | Pages remaining: 577 | Queue size: 577 | Visited pages: 56 | Current depth: 2 | Elapsed time: 01:11 | Estimated remaining time: 12:10 | Current URL: https://owasp.org/Top10/2021/ar/A08_2021-Software_and_Data_Integrity_Failures
2026-07-25 19:56:20,581 | INFO | knowledge_collector.crawl_progress | Current page: 58 | Pages completed: 57 | Pages remaining: 577 | Queue size: 577 | Visited pages: 57 | Current depth: 2 | Elapsed time: 01:12 | Estimated remaining time: 12:05 | Current URL: https://owasp.org/Top10/2021/ar/A09_2021-Security_Logging_and_Monitoring_Failures
2026-07-25 19:56:21,697 | INFO | knowledge_collector.crawl_progress | Current page: 59 | Pages completed: 58 | Pages remaining: 576 | Queue size: 576 | Visited pages: 58 | Current depth: 2 | Elapsed time: 01:13 | Estimated remaining time: 12:02 | Current URL: https://owasp.org/Top10/2021/ar/A10_2021-Server-Side_Request_Forgery_%28SSRF%29
2026-07-25 19:56:22,466 | INFO | knowledge_collector.crawl_progress | Current page: 60 | Pages completed: 59 | Pages remaining: 576 | Queue size: 576 | Visited pages: 59 | Current depth: 2 | Elapsed time: 01:14 | Estimated remaining time: 11:58 | Current URL: https://owasp.org/Top10/2021/ar/A11_2021-Next_Steps
2026-07-25 19:56:23,455 | INFO | knowledge_collector.crawl_progress | Current page: 61 | Pages completed: 60 | Pages remaining: 575 | Queue size: 575 | Visited pages: 60 | Current depth: 2 | Elapsed time: 01:15 | Estimated remaining time: 11:54 | Current URL: https://owasp.org/Top10/2021/de/A00_2021_Introduction
2026-07-25 19:56:24,854 | INFO | knowledge_collector.crawl_progress | Current page: 62 | Pages completed: 61 | Pages remaining: 574 | Queue size: 574 | Visited pages: 61 | Current depth: 2 | Elapsed time: 01:16 | Estimated remaining time: 11:54 | Current URL: https://owasp.org/Top10/2021/de/0x00_2021-notice
2026-07-25 19:56:26,453 | INFO | knowledge_collector.crawl_progress | Current page: 63 | Pages completed: 62 | Pages remaining: 586 | Queue size: 586 | Visited pages: 62 | Current depth: 2 | Elapsed time: 01:18 | Estimated remaining time: 12:13 | Current URL: https://owasp.org/Top10/2021/de/A00_2021_How_to_use_the_OWASP_Top_10_as_a_standard
