2026-07-26 15:16:46,044 | INFO     | agent_cyber.memory | Session started id=3 program=test
2026-07-26 15:16:46,045 | INFO     | agent_cyber.planner.core | --- Cognitive cycle 1 :: goal='Enumerate authentication endpoints' ---
2026-07-26 15:18:24,788 | INFO     | agent_cyber.planner.decision_engine | Decision: tool=nuclei params={'target': 'scanme.nmap.org', 'tags': 'auth,login,jwt,oauth'} risk=medium approval_required=False reason=Nuclei's authentication-specific templates will efficiently identify potential authentication endpoints with minimal false positives
2026-07-26 15:18:24,789 | INFO     | agent_cyber.dispatcher.kali | Dispatching: nuclei -u scanme.nmap.org -jsonl -severity medium,high,critical -tags auth,login,jwt,oauth (timeout=600s)
2026-07-26 15:18:24,936 | INFO     | agent_cyber.dispatcher.kali | SSH connected to Kali VM at 192.168.1.13:22
2026-07-26 15:21:56,153 | INFO     | agent_cyber.memory | Checkpoint saved id=2 session=3
2026-07-26 15:21:56,153 | INFO     | agent_cyber.main | Cycle outcome: {'cycle': 1, 'tool_executed': 'nuclei', 'exec_status': 'completed', 'hypothesis': 'hyp_20260726094824_0', 'verified': False}
2026-07-26 20:51:15,626 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 582 new/modified document(s) to process
2026-07-26 20:53:19,611 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-abuse-case-cheat-sheet-html-59b4617edafa: 0 observation(s)
2026-07-26 21:01:40,929 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-ai-agent-security-cheat-sheet-html-c6314847413b: 12 observation(s)
2026-07-26 21:05:18,840 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-ajax-security-cheat-sheet-html-8e8d41ea5274: 2 observation(s)
2026-07-26 21:08:18,456 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-aml-sanctions-ai-agent-payments-cheat-sheet-html-6e896c6ad67a: 2 observation(s)
2026-07-26 21:09:11,422 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-attack-surface-analysis-cheat-sheet-html-09139c4100bb: 0 observation(s)
2026-07-26 21:09:54,444 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-authorization-cheat-sheet-404d67a9189f: 0 observation(s)
2026-07-26 21:10:28,593 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-authorization-cheat-sheet-html-10c2347db109 (1): 0 observation(s)
2026-07-26 21:11:15,773 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-authorization-cheat-sheet-html-10c2347db109: 0 observation(s)
2026-07-26 21:16:15,998 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-authorization-regression-testing-cheat-sheet-html-84661b29b3e1: 2 observation(s)
2026-07-26 21:17:07,975 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-authorization-testing-automation-cheat-sheet-html-6200e08617da: 0 observation(s)
2026-07-26 21:19:06,574 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-automotive-security-cheat-sheet-html-e0e2b5d520d7: 0 observation(s)
2026-07-26 21:20:02,424 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-bean-validation-cheat-sheet-html-f0d09430abc2: 0 observation(s)
2026-07-26 21:26:10,016 | INFO     | agent_cyber.learning.engine | Indexed owasp-cheatsheetseries-owasp-org-cheatsheets-browser-extension-vulnerabilities-cheat-sheet-html-e1739362bdf8: 8 observation(s)
2026-07-28 06:10:04,279 | INFO     | agent_cyber.reasoning.impact_assessor | Deep impact assessment: clear_impact=True severity=high
2026-07-28 06:10:04,300 | ERROR    | agent_cyber.reasoning.impact_assessor | Impact assessment failed, failing closed (clear_impact=False): ollama backend unavailable
2026-07-28 06:10:04,304 | ERROR    | agent_cyber.reasoning.impact_assessor | Impact assessment failed, failing closed (clear_impact=False): Expecting value: line 1 column 1 (char 0)
2026-07-28 06:10:04,310 | INFO     | agent_cyber.reasoning.impact_assessor | Deep impact assessment: clear_impact=False severity=medium
2026-07-28 06:10:04,612 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 1 new/modified document(s) to process
2026-07-28 06:10:04,636 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 0 new/modified document(s) to process
2026-07-28 06:10:04,756 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 1 new/modified document(s) to process
2026-07-28 06:10:04,771 | INFO     | agent_cyber.learning.incremental_indexer | Incremental scan: 0 new/modified document(s) to process
